sub	MB	ME	Region	TSNR
10017	6	4	VS	31.70218849182129
10017	6	4	RVS	28.980915069580078
10017	6	4	LVS	26.821964263916016
10017	6	4	vmPFC	40.17830276489258
10017	6	4	FFA	50.12730026245117
10017	6	4	sCerb	43.22832489013672
10017	6	4	iCerb	44.89486312866211
10017	6	4	Motor	52.89959716796875
10017	1	4	VS	56.22648239135742
10017	1	4	RVS	50.289207458496094
10017	1	4	LVS	50.68733596801758
10017	1	4	vmPFC	62.22635269165039
10017	1	4	FFA	70.14869689941406
10017	1	4	sCerb	63.380584716796875
10017	1	4	iCerb	60.97703170776367
10017	1	4	Motor	73.75390625
10017	3	1	VS	29.2780239149712
10017	3	1	RVS	32.7327470480338
10017	3	1	LVS	30.866086654760853
10017	3	1	vmPFC	40.8348417200323
10017	3	1	FFA	45.25517392723907
10017	3	1	sCerb	44.27860644587408
10017	3	1	iCerb	43.002870296461424
10017	3	1	Motor	49.590966167273145
10017	3	4	VS	45.055320739746094
10017	3	4	RVS	40.800018310546875
10017	3	4	LVS	39.56806564331055
10017	3	4	vmPFC	46.82940673828125
10017	3	4	FFA	53.38291931152344
10017	3	4	sCerb	53.31459426879883
10017	3	4	iCerb	52.102569580078125
10017	3	4	Motor	57.60833740234375
10017	1	1	VS	27.372549588991806
10017	1	1	RVS	32.84790448667328
10017	1	1	LVS	29.42942736659161
10017	1	1	vmPFC	38.25271615457523
10017	1	1	FFA	47.01179417154109
10017	1	1	sCerb	45.35839496698284
10017	1	1	iCerb	44.7533104276763
10017	1	1	Motor	50.509440265528646
10017	6	1	VS	24.331730642678394
10017	6	1	RVS	28.04296055081552
10017	6	1	LVS	26.001876527223757
10017	6	1	vmPFC	35.02113536191808
10017	6	1	FFA	43.56911998037476
10017	6	1	sCerb	41.54847250998101
10017	6	1	iCerb	41.39696815828817
10017	6	1	Motor	44.6465647189668
10024	3	1	VS	30.2810227169153
10024	3	1	RVS	34.96871184202818
10024	3	1	LVS	34.00388602406792
10024	3	1	vmPFC	41.109794355581094
10024	3	1	FFA	53.64515025366617
10024	3	1	sCerb	44.744255350318184
10024	3	1	iCerb	45.636088198062026
10024	3	1	Motor	56.19425511591875
10024	6	4	VS	32.01872253417969
10024	6	4	RVS	32.97614669799805
10024	6	4	LVS	30.840465545654297
10024	6	4	vmPFC	56.74300765991211
10024	6	4	FFA	60.075767517089844
10024	6	4	sCerb	41.89830017089844
10024	6	4	iCerb	48.212589263916016
10024	6	4	Motor	59.95578384399414
10024	1	4	VS	55.690128326416016
10024	1	4	RVS	48.83340835571289
10024	1	4	LVS	47.095611572265625
10024	1	4	vmPFC	62.21405029296875
10024	1	4	FFA	66.55793762207031
10024	1	4	sCerb	57.13835144042969
10024	1	4	iCerb	58.530941009521484
10024	1	4	Motor	56.93252944946289
10024	6	1	VS	28.356182539286294
10024	6	1	RVS	33.02991987026103
10024	6	1	LVS	32.09525718188603
10024	6	1	vmPFC	38.32198622593628
10024	6	1	FFA	54.165903130218
10024	6	1	sCerb	44.64010447902233
10024	6	1	iCerb	45.205091717560045
10024	6	1	Motor	62.2367196355203
10024	1	1	VS	23.275004599469636
10024	1	1	RVS	31.677596758156316
10024	1	1	LVS	29.569798626732187
10024	1	1	vmPFC	32.52964201182275
10024	1	1	FFA	47.65199970991598
10024	1	1	sCerb	43.6081631825023
10024	1	1	iCerb	44.99613643875799
10024	1	1	Motor	46.742675225797214
10024	3	4	VS	46.12615203857422
10024	3	4	RVS	45.125831604003906
10024	3	4	LVS	42.04753494262695
10024	3	4	vmPFC	55.31364059448242
10024	3	4	FFA	65.35742950439453
10024	3	4	sCerb	56.682308197021484
10024	3	4	iCerb	56.995521545410156
10024	3	4	Motor	65.69208526611328
10035	1	1	VS	24.53964440049992
10035	1	1	RVS	41.65760386666469
10035	1	1	LVS	33.83684087099654
10035	1	1	vmPFC	36.27164844588902
10035	1	1	FFA	49.47013270113816
10035	1	1	sCerb	52.78621894349316
10035	1	1	iCerb	56.077902080204275
10035	1	1	Motor	54.732529553806295
10035	6	1	VS	21.27849442539033
10035	6	1	RVS	33.43528932015021
10035	6	1	LVS	26.87214859580366
10035	6	1	vmPFC	29.69895077054682
10035	6	1	FFA	39.49268412002971
10035	6	1	sCerb	43.00836748305152
10035	6	1	iCerb	46.14067863180387
10035	6	1	Motor	45.13344684707084
10035	1	4	VS	56.573612213134766
10035	1	4	RVS	54.97283935546875
10035	1	4	LVS	52.187477111816406
10035	1	4	vmPFC	56.653560638427734
10035	1	4	FFA	65.2981948852539
10035	1	4	sCerb	65.8267822265625
10035	1	4	iCerb	72.35364532470703
10035	1	4	Motor	63.77889633178711
10035	6	4	VS	33.56596755981445
10035	6	4	RVS	33.64773941040039
10035	6	4	LVS	32.73915481567383
10035	6	4	vmPFC	49.73377990722656
10035	6	4	FFA	43.38524627685547
10035	6	4	sCerb	47.525367736816406
10035	6	4	iCerb	59.21816635131836
10035	6	4	Motor	51.77495574951172
10035	3	1	VS	24.15958089372916
10035	3	1	RVS	38.67561074740743
10035	3	1	LVS	31.145820792675792
10035	3	1	vmPFC	36.54140230950858
10035	3	1	FFA	46.889807513901765
10035	3	1	sCerb	50.049295970822605
10035	3	1	iCerb	53.23211629430674
10035	3	1	Motor	49.721263388727415
10035	3	4	VS	43.94392395019531
10035	3	4	RVS	48.33325958251953
10035	3	4	LVS	43.731666564941406
10035	3	4	vmPFC	54.3111572265625
10035	3	4	FFA	62.911460876464844
10035	3	4	sCerb	59.1977653503418
10035	3	4	iCerb	68.57295227050781
10035	3	4	Motor	59.421722412109375
10043	1	4	VS	49.34537124633789
10043	1	4	RVS	47.863731384277344
10043	1	4	LVS	43.73149871826172
10043	1	4	vmPFC	61.701560974121094
10043	1	4	FFA	63.41450500488281
10043	1	4	sCerb	61.53288650512695
10043	1	4	iCerb	59.94406509399414
10043	1	4	Motor	71.42106628417969
10043	3	1	VS	34.73557046709128
10043	3	1	RVS	35.935673954444155
10043	3	1	LVS	31.40159527067543
10043	3	1	vmPFC	41.00926269161365
10043	3	1	FFA	40.14851169231297
10043	3	1	sCerb	48.9129022277836
10043	3	1	iCerb	48.577144405917664
10043	3	1	Motor	51.854271101688866
10043	1	1	VS	39.88534427370027
10043	1	1	RVS	39.134694031798595
10043	1	1	LVS	35.95428319663306
10043	1	1	vmPFC	47.64726643732256
10043	1	1	FFA	46.582125684256106
10043	1	1	sCerb	52.443366016842326
10043	1	1	iCerb	51.19724837603694
10043	1	1	Motor	59.47568283161257
10043	6	4	VS	31.828638076782227
10043	6	4	RVS	30.115541458129883
10043	6	4	LVS	28.696577072143555
10043	6	4	vmPFC	42.76287841796875
10043	6	4	FFA	39.269161224365234
10043	6	4	sCerb	43.443485260009766
10043	6	4	iCerb	45.3597412109375
10043	6	4	Motor	51.082550048828125
10043	6	1	VS	33.660949151754586
10043	6	1	RVS	32.644854691659575
10043	6	1	LVS	31.17995018394006
10043	6	1	vmPFC	43.60070662786774
10043	6	1	FFA	41.95804194794314
10043	6	1	sCerb	45.590224019144834
10043	6	1	iCerb	45.83412337464215
10043	6	1	Motor	56.43483261594349
10043	3	4	VS	41.73155975341797
10043	3	4	RVS	39.639034271240234
10043	3	4	LVS	35.782371520996094
10043	3	4	vmPFC	43.25041961669922
10043	3	4	FFA	46.52536392211914
10043	3	4	sCerb	56.44729232788086
10043	3	4	iCerb	53.672340393066406
10043	3	4	Motor	51.53711700439453
10054	1	1	VS	42.13396072387695
10054	1	1	RVS	40.34122848510742
10054	1	1	LVS	37.29899215698242
10054	1	1	vmPFC	46.73020935058594
10054	1	1	FFA	54.87439727783203
10054	1	1	sCerb	51.04685974121094
10054	1	1	iCerb	44.357810974121094
10054	1	1	Motor	54.675655364990234
10054	3	1	VS	37.78249090849692
10054	3	1	RVS	36.75635056776267
10054	3	1	LVS	32.334555652472
10054	3	1	vmPFC	40.649980743674305
10054	3	1	FFA	52.357955475285024
10054	3	1	sCerb	49.50119982090859
10054	3	1	iCerb	44.5985835858148
10054	3	1	Motor	51.300541233131945
10054	6	4	VS	30.142988204956055
10054	6	4	RVS	28.05045509338379
10054	6	4	LVS	26.276718139648438
10054	6	4	vmPFC	41.560394287109375
10054	6	4	FFA	46.847755432128906
10054	6	4	sCerb	45.39280319213867
10054	6	4	iCerb	42.2271614074707
10054	6	4	Motor	48.68498229980469
10054	1	4	VS	48.31401062011719
10054	1	4	RVS	44.73104476928711
10054	1	4	LVS	40.02479934692383
10054	1	4	vmPFC	51.344505310058594
10054	1	4	FFA	48.46583557128906
10054	1	4	sCerb	50.61909484863281
10054	1	4	iCerb	51.72218704223633
10054	1	4	Motor	53.16592025756836
10054	3	4	VS	43.37818145751953
10054	3	4	RVS	38.49303436279297
10054	3	4	LVS	37.86287307739258
10054	3	4	vmPFC	43.41850280761719
10054	3	4	FFA	56.652042388916016
10054	3	4	sCerb	54.82222366333008
10054	3	4	iCerb	50.926692962646484
10054	3	4	Motor	53.5421257019043
10054	6	1	VS	30.793199146005755
10054	6	1	RVS	31.499495527249508
10054	6	1	LVS	27.396536110712542
10054	6	1	vmPFC	31.49518406085646
10054	6	1	FFA	41.665370805784484
10054	6	1	sCerb	41.80432380320207
10054	6	1	iCerb	36.79360892909481
10054	6	1	Motor	38.88709194743571
10059	3	4	VS	47.01728820800781
10059	3	4	RVS	44.769195556640625
10059	3	4	LVS	42.670650482177734
10059	3	4	vmPFC	56.75333023071289
10059	3	4	FFA	41.92166519165039
10059	3	4	sCerb	47.04590606689453
10059	3	4	iCerb	47.71659851074219
10059	3	4	Motor	48.028175354003906
10059	1	1	VS	39.91630963874752
10059	1	1	RVS	41.35899551998678
10059	1	1	LVS	37.88793064304167
10059	1	1	vmPFC	45.062373799862364
10059	1	1	FFA	52.37232757419241
10059	1	1	sCerb	47.175728465715544
10059	1	1	iCerb	44.34615691939453
10059	1	1	Motor	63.80236118301959
10059	6	4	VS	31.733789443969727
10059	6	4	RVS	33.71559143066406
10059	6	4	LVS	27.372488021850586
10059	6	4	vmPFC	54.677940368652344
10059	6	4	FFA	62.876686096191406
10059	6	4	sCerb	44.400516510009766
10059	6	4	iCerb	45.739990234375
10059	6	4	Motor	62.47214889526367
10059	1	4	VS	56.987857818603516
10059	1	4	RVS	53.291263580322266
10059	1	4	LVS	50.833961486816406
10059	1	4	vmPFC	60.106300354003906
10059	1	4	FFA	62.676841735839844
10059	1	4	sCerb	58.805728912353516
10059	1	4	iCerb	60.59049606323242
10059	1	4	Motor	64.12566375732422
10059	3	1	VS	38.10904249307861
10059	3	1	RVS	37.9533112609372
10059	3	1	LVS	35.89237356359972
10059	3	1	vmPFC	31.830595370684385
10059	3	1	FFA	31.92266611087339
10059	3	1	sCerb	39.15269740619217
10059	3	1	iCerb	37.363166586387166
10059	3	1	Motor	43.02321068772869
10059	6	1	VS	36.77762752916681
10059	6	1	RVS	35.70027504517216
10059	6	1	LVS	33.6656952348104
10059	6	1	vmPFC	35.671470055202654
10059	6	1	FFA	53.87621819800177
10059	6	1	sCerb	43.38361094502641
10059	6	1	iCerb	40.29201337476243
10059	6	1	Motor	59.8578975676023
10069	3	1	VS	25.675286551990737
10069	3	1	RVS	25.56129980153488
10069	3	1	LVS	25.667875841401266
10069	3	1	vmPFC	34.8590687957005
10069	3	1	FFA	34.47186909952061
10069	3	1	sCerb	38.57722117421642
10069	3	1	iCerb	43.008723546609644
10069	3	1	Motor	47.284613261261164
10069	1	1	VS	32.69137138779284
10069	1	1	RVS	31.950756622243343
10069	1	1	LVS	32.11118816248646
10069	1	1	vmPFC	41.850688956702975
10069	1	1	FFA	39.796240215598104
10069	1	1	sCerb	45.04571953937876
10069	1	1	iCerb	47.06192410758963
10069	1	1	Motor	54.22549745514507
10069	6	1	VS	25.79398899561927
10069	6	1	RVS	24.724480645133116
10069	6	1	LVS	24.285838600835074
10069	6	1	vmPFC	29.899878770177196
10069	6	1	FFA	32.37381955671686
10069	6	1	sCerb	36.28568791175343
10069	6	1	iCerb	42.26839451924602
10069	6	1	Motor	46.73058802775316
10069	1	4	VS	40.81835174560547
10069	1	4	RVS	34.1810188293457
10069	1	4	LVS	33.70915603637695
10069	1	4	vmPFC	35.49372863769531
10069	1	4	FFA	38.39115905761719
10069	1	4	sCerb	44.45339584350586
10069	1	4	iCerb	50.111961364746094
10069	1	4	Motor	45.642581939697266
10069	6	4	VS	28.419273376464844
10069	6	4	RVS	24.099756240844727
10069	6	4	LVS	23.028963088989258
10069	6	4	vmPFC	29.932188034057617
10069	6	4	FFA	28.121198654174805
10069	6	4	sCerb	34.11566162109375
10069	6	4	iCerb	41.95988845825195
10069	6	4	Motor	36.53439712524414
10069	3	4	VS	31.69505500793457
10069	3	4	RVS	29.432764053344727
10069	3	4	LVS	29.891931533813477
10069	3	4	vmPFC	30.099374771118164
10069	3	4	FFA	28.20305061340332
10069	3	4	sCerb	37.82196044921875
10069	3	4	iCerb	45.685943603515625
10069	3	4	Motor	35.20117950439453
10074	3	4	VS	33.985862731933594
10074	3	4	RVS	30.72934913635254
10074	3	4	LVS	28.59171485900879
10074	3	4	vmPFC	43.02504348754883
10074	3	4	FFA	53.66754150390625
10074	3	4	sCerb	49.03359603881836
10074	3	4	iCerb	49.15517044067383
10074	3	4	Motor	46.130889892578125
10074	1	1	VS	32.055133333184095
10074	1	1	RVS	30.639008316702917
10074	1	1	LVS	26.777696084760915
10074	1	1	vmPFC	29.193393186529498
10074	1	1	FFA	41.76553320665467
10074	1	1	sCerb	41.67738727581775
10074	1	1	iCerb	42.774477998106725
10074	1	1	Motor	41.677650715221866
10074	6	1	VS	28.881585778688837
10074	6	1	RVS	26.593170887391988
10074	6	1	LVS	25.40070849354493
10074	6	1	vmPFC	30.601916044995182
10074	6	1	FFA	41.92337374709982
10074	6	1	sCerb	38.03368277099979
10074	6	1	iCerb	42.091315678605525
10074	6	1	Motor	46.88694693493489
10074	6	4	VS	27.037195205688477
10074	6	4	RVS	25.532424926757812
10074	6	4	LVS	23.67197036743164
10074	6	4	vmPFC	39.37902069091797
10074	6	4	FFA	43.92210388183594
10074	6	4	sCerb	37.783084869384766
10074	6	4	iCerb	42.853729248046875
10074	6	4	Motor	46.20524597167969
10074	1	4	VS	43.740928649902344
10074	1	4	RVS	40.00590515136719
10074	1	4	LVS	38.98580551147461
10074	1	4	vmPFC	49.70674514770508
10074	1	4	FFA	62.018470764160156
10074	1	4	sCerb	53.60021209716797
10074	1	4	iCerb	52.42713165283203
10074	1	4	Motor	56.669403076171875
10074	3	1	VS	31.487852437487593
10074	3	1	RVS	28.142777119084446
10074	3	1	LVS	27.0014183332049
10074	3	1	vmPFC	22.819199169415707
10074	3	1	FFA	40.0211640203289
10074	3	1	sCerb	39.85041719279237
10074	3	1	iCerb	40.164754936893495
10074	3	1	Motor	42.9984339000215
10078	3	1	VS	16.148069055090794
10078	3	1	RVS	27.08770050872531
10078	3	1	LVS	21.995139540192366
10078	3	1	vmPFC	43.69739529722791
10078	3	1	FFA	39.792148192034816
10078	3	1	sCerb	46.07168354991826
10078	3	1	iCerb	44.90964821351972
10078	3	1	Motor	49.36203382771246
10078	6	4	VS	21.116485595703125
10078	6	4	RVS	25.765670776367188
10078	6	4	LVS	24.36296272277832
10078	6	4	vmPFC	46.0912971496582
10078	6	4	FFA	42.28441619873047
10078	6	4	sCerb	43.499229431152344
10078	6	4	iCerb	47.66023254394531
10078	6	4	Motor	48.96170425415039
10078	1	4	VS	50.17131805419922
10078	1	4	RVS	44.45220184326172
10078	1	4	LVS	45.14556121826172
10078	1	4	vmPFC	49.5579948425293
10078	1	4	FFA	51.58523941040039
10078	1	4	sCerb	59.82354736328125
10078	1	4	iCerb	62.227783203125
10078	1	4	Motor	51.43985366821289
10078	6	1	VS	16.488786828059066
10078	6	1	RVS	25.545069520017133
10078	6	1	LVS	22.820959262566557
10078	6	1	vmPFC	40.96409366714324
10078	6	1	FFA	34.51660210226248
10078	6	1	sCerb	42.81297601995347
10078	6	1	iCerb	43.99986195665482
10078	6	1	Motor	45.35738269178076
10078	1	1	VS	16.013021465088293
10078	1	1	RVS	29.433083581534007
10078	1	1	LVS	22.252174835216714
10078	1	1	vmPFC	45.62201329260672
10078	1	1	FFA	41.68694559207895
10078	1	1	sCerb	47.59359200666357
10078	1	1	iCerb	45.09781739759756
10078	1	1	Motor	49.75980314422338
10078	3	4	VS	30.121225357055664
10078	3	4	RVS	36.43382263183594
10078	3	4	LVS	31.254011154174805
10078	3	4	vmPFC	38.672210693359375
10078	3	4	FFA	53.258338928222656
10078	3	4	sCerb	57.23252487182617
10078	3	4	iCerb	55.16918182373047
10078	3	4	Motor	41.011775970458984
10080	3	4	VS	26.287656784057617
10080	3	4	RVS	24.81112289428711
10080	3	4	LVS	26.628103256225586
10080	3	4	vmPFC	30.358074188232422
10080	3	4	FFA	40.96111297607422
10080	3	4	sCerb	41.538169860839844
10080	3	4	iCerb	44.085262298583984
10080	3	4	Motor	46.44633483886719
10080	3	1	VS	14.448705307936113
10080	3	1	RVS	19.27977409005736
10080	3	1	LVS	22.010467225703565
10080	3	1	vmPFC	23.814547556578322
10080	3	1	FFA	35.48407717164409
10080	3	1	sCerb	38.68345882916113
10080	3	1	iCerb	37.90071614432712
10080	3	1	Motor	44.94040644109802
10080	6	4	VS	18.898399353027344
10080	6	4	RVS	18.426101684570312
10080	6	4	LVS	19.96488380432129
10080	6	4	vmPFC	22.037160873413086
10080	6	4	FFA	29.70189666748047
10080	6	4	sCerb	32.93653106689453
10080	6	4	iCerb	34.23356628417969
10080	6	4	Motor	33.31755065917969
10080	1	4	VS	32.352500915527344
10080	1	4	RVS	27.688215255737305
10080	1	4	LVS	30.560209274291992
10080	1	4	vmPFC	31.404977798461914
10080	1	4	FFA	48.46711349487305
10080	1	4	sCerb	45.761165618896484
10080	1	4	iCerb	45.459068298339844
10080	1	4	Motor	54.246131896972656
10080	6	1	VS	16.108807481004966
10080	6	1	RVS	17.69885963291383
10080	6	1	LVS	20.840305660973122
10080	6	1	vmPFC	21.58295988876451
10080	6	1	FFA	33.47371200877451
10080	6	1	sCerb	37.472974576311714
10080	6	1	iCerb	36.234698328658695
10080	6	1	Motor	41.933129065898356
10080	1	1	VS	15.574686854570583
10080	1	1	RVS	19.490850414520242
10080	1	1	LVS	19.700361594452065
10080	1	1	vmPFC	20.357957502765306
10080	1	1	FFA	36.46051038759534
10080	1	1	sCerb	37.25424001520418
10080	1	1	iCerb	34.192587737510316
10080	1	1	Motor	35.8853667685925
10108	6	1	VS	31.615552979899206
10108	6	1	RVS	30.924012037400512
10108	6	1	LVS	28.411149949684244
10108	6	1	vmPFC	46.759030745219505
10108	6	1	FFA	35.98617256057205
10108	6	1	sCerb	41.51809546253604
10108	6	1	iCerb	41.17658527773092
10108	6	1	Motor	55.56102623211738
10108	6	4	VS	31.137014389038086
10108	6	4	RVS	28.878293991088867
10108	6	4	LVS	26.101469039916992
10108	6	4	vmPFC	43.94462585449219
10108	6	4	FFA	33.629276275634766
10108	6	4	sCerb	40.25864791870117
10108	6	4	iCerb	42.26008224487305
10108	6	4	Motor	39.997230529785156
10108	1	4	VS	50.478477478027344
10108	1	4	RVS	44.98046112060547
10108	1	4	LVS	45.00658416748047
10108	1	4	vmPFC	47.22955322265625
10108	1	4	FFA	60.85368728637695
10108	1	4	sCerb	57.4744987487793
10108	1	4	iCerb	58.88747787475586
10108	1	4	Motor	70.82696533203125
10108	3	1	VS	23.42424065071588
10108	3	1	RVS	27.60035237582024
10108	3	1	LVS	25.75883969153139
10108	3	1	vmPFC	32.56810158634511
10108	3	1	FFA	28.146383681293347
10108	3	1	sCerb	40.828102278254036
10108	3	1	iCerb	41.35160514568206
10108	3	1	Motor	45.058154858924446
10108	3	4	VS	46.524383544921875
10108	3	4	RVS	43.62183380126953
10108	3	4	LVS	42.0213737487793
10108	3	4	vmPFC	58.91257095336914
10108	3	4	FFA	39.374229431152344
10108	3	4	sCerb	56.106536865234375
10108	3	4	iCerb	52.45884323120117
10108	3	4	Motor	53.69268798828125
10108	1	1	VS	25.691989846714492
10108	1	1	RVS	32.9179122368628
10108	1	1	LVS	27.57930824076379
10108	1	1	vmPFC	40.31776073556472
10108	1	1	FFA	31.5743987838121
10108	1	1	sCerb	44.07573826951533
10108	1	1	iCerb	43.737508826946744
10108	1	1	Motor	47.737218691498704
10125	6	1	VS	24.80188703840373
10125	6	1	RVS	28.456099054888487
10125	6	1	LVS	27.477314760812543
10125	6	1	vmPFC	45.31993365210817
10125	6	1	FFA	29.302912517552617
10125	6	1	sCerb	37.113191721075225
10125	6	1	iCerb	35.27896341522721
10125	6	1	Motor	47.58335546321521
10125	1	4	VS	48.97708511352539
